Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY SMLCAP 50","5,319.60","5,389.40","5,308.55","5,383.90","82.60","1.56","8,274.33","11,917.94","30,892.40","3,183.10","59.34","-1.60"
"NETWORK18","94.20","113.00","91.30","109.35","15.15","16.08","514.30","537.29","113.00","34.50","196.34","21.64"
"CREDITACC","536.95","616.00","535.00","603.00","71.05","13.36","31.32","183.17","825.00","494.70","-21.43","-2.69"
"IDBI","48.50","55.00","47.95","53.95","5.30","10.89","402.02","209.17","65.25","26.35","29.07","-0.09"
"TV18BRDCST","45.00","50.75","44.50","48.90","4.30","9.64","720.42","350.27","52.50","26.25","54.75","6.42"
"IEX","271.00","303.80","269.85","295.20","25.35","9.39","673.52","1,966.08","318.67","66.57","35.07","-62.26"
"AARTIDRUGS","552.80","589.70","548.15","586.85","43.60","8.03","6.93","39.36","841.80","484.00","-24.88","4.43"
"BAJAJELEC","1,151.00","1,169.15","1,096.85","1,129.95","83.45","7.97","21.93","247.18","1,588.95","520.00","80.82","3.41"
"BAJAJCON","190.20","202.25","188.00","201.50","14.20","7.58","38.95","76.68","324.00","179.45","-0.32","-9.17"
"MINDACORP","163.00","176.00","163.00","174.90","11.20","6.84","29.38","50.76","179.85","77.25","101.03","0.23"
"IBREALEST","170.00","181.70","168.70","179.10","9.90","5.85","224.77","393.75","195.90","63.10","160.13","-6.25"
"SEQUENT","171.00","185.00","168.60","180.60","9.60","5.61","188.82","337.53","336.50","144.75","6.11","-2.14"
"IOB","21.80","23.30","21.60","22.95","1.20","5.52","135.70","30.72","29.00","9.85","96.15","6.50"
"CCL","390.90","412.70","389.40","408.75","19.75","5.08","8.63","35.03","494.80","226.35","53.46","6.31"
"TTML","144.90","148.25","141.00","148.25","7.05","4.99","14.47","21.29","148.25","6.90","1675.45","223.34"
"CGPOWER","156.20","165.15","156.20","165.15","7.85","4.99","23.34","38.09","169.50","37.75","650.68","5.19"
"NBCC","44.60","47.40","44.35","46.70","2.10","4.71","140.42","65.22","59.80","25.60","62.43","-1.58"
"PHILIPCARB","222.00","234.70","222.00","231.70","9.80","4.42","20.37","47.11","277.30","143.25","37.34","1.53"
"IBULHSGFIN","253.00","264.00","251.30","262.00","11.05","4.40","292.15","754.06","313.70","154.20","31.63","7.53"
"PRAJIND","347.75","358.50","335.60","356.05","13.75","4.02","4.24","14.88","407.00","92.75","-","-"
"SUZLON","7.70","7.85","7.65","7.80","0.30","4.00","1,190.73","92.88","9.45","3.45","155.74","9.86"
"SPARC","250.80","259.20","248.00","258.10","9.35","3.76","6.16","15.67","312.00","141.00","33.80","-4.67"
"MAHABANK","20.00","20.95","19.70","20.70","0.75","3.76","75.37","15.36","32.00","11.00","33.12","-5.05"
"INFIBEAM","41.55","43.00","41.15","42.90","1.55","3.75","41.80","17.61","113.70","36.70","-51.72","-5.09"
"CENTRALBK","22.60","23.90","22.30","23.40","0.80","3.54","126.74","29.47","29.65","12.20","51.95","4.23"
"AEGISCHEM","235.70","243.55","235.50","242.60","7.40","3.15","10.84","26.07","387.90","191.75","-6.28","14.62"
"DELTACORP","278.00","286.50","278.00","284.50","8.55","3.10","89.93","255.38","308.50","138.00","86.25","-2.27"
"ALOKINDS","22.65","23.75","22.55","23.35","0.70","3.09","197.09","45.86","32.25","18.70","-4.89","1.97"
"FRETAIL","48.80","51.55","48.55","50.15","1.50","3.08","57.29","28.86","88.85","40.55","-37.86","1.72"
"IDFC","52.50","54.70","52.05","53.90","1.60","3.06","117.18","62.36","64.40","35.00","34.75","-8.57"
"WELCORP","176.80","185.40","176.80","183.30","5.30","2.98","55.41","101.34","185.40","105.85","45.36","38.18"
"GRANULES","334.00","345.50","333.00","344.90","9.95","2.97","52.79","179.56","404.80","280.50","-11.90","7.58"
"HATHWAY","22.50","23.70","22.20","22.95","0.65","2.91","219.12","50.68","36.70","19.60","-35.44","9.03"
"LEMONTREE","48.55","50.65","48.45","50.20","1.40","2.87","35.73","17.74","59.90","27.00","11.06","-10.36"
"GRINDWELL","1,769.25","1,843.90","1,751.35","1,819.90","50.65","2.86","0.62","11.28","1,876.50","629.95","171.44","7.35"
"POLYPLEX","1,990.00","2,085.00","1,982.05","2,030.00","56.25","2.85","7.28","149.16","2,085.00","676.00","160.66","17.04"
"ASAHIINDIA","464.30","488.00","462.00","473.00","12.95","2.81","2.05","9.74","533.00","231.00","73.58","9.83"
"NILKAMAL","2,410.00","2,544.95","2,382.20","2,486.00","66.25","2.74","0.14","3.55","3,180.00","1,371.05","74.63","1.18"
"TIMKEN","1,909.60","1,990.00","1,909.60","1,960.50","50.90","2.67","0.40","7.76","2,156.70","1,055.00","70.69","8.16"
"UCOBANK","13.40","13.90","13.35","13.75","0.35","2.61","64.32","8.79","16.35","10.75","-0.36","-6.14"
"EIHOTEL","127.00","131.00","127.00","130.40","3.25","2.56","2.81","3.63","155.00","82.00","26.85","-14.66"
"INTELLECT","683.90","708.75","676.75","698.00","17.35","2.55","2.90","20.19","892.00","273.85","143.72","-0.11"
"JUBLPHARMA","590.00","605.75","587.60","600.90","14.70","2.51","0.98","5.85","1,046.95","575.00","-","-"
"HEG","1,777.00","1,882.35","1,777.00","1,824.85","44.20","2.48","2.53","46.64","2,629.00","804.00","116.36","-10.96"
"BSE","2,028.90","2,160.00","2,027.10","2,096.15","49.50","2.42","28.63","604.23","2,160.00","535.50","237.30","50.01"
